id,id_cliente,producto,precio
1,4,Island Oasis - Mango Daiquiri,41.64
2,34,Sugar - White Packet,37.32
3,22,,
4,31,Alize Red Passion,7.47
5,90,"Mushroom - Enoki, Dry",27.75
6,6,Soup - French Can Pea,46.55
7,46,Flavouring - Raspberry,26.58
8,65,Coffee - Frthy Coffee Crisp,48.47
9,30,Bread Base - Italian,25.53
10,18,"C - Plus, Orange",35.28
11,20,Soup - Tomato Mush. Florentine,17.1
12,66,"Tortillas - Flour, 12",41.3
13,61,"Soup - Knorr, Classic Can. Chili",3.76
14,80,,
15,77,Creme De Banane - Marie,2.7
16,41,Tuna - Bluefin,31.31
17,64,,
18,100,Steampan - Lid For Half Size,36.87
19,71,Sole - Fillet,49.68
20,50,Shrimp - Black Tiger 8 - 12,32.62
21,79,"Jam - Marmalade, Orange",16.9
22,90,Soup - French Onion,43.37
23,28,,
24,41,Bread - Pain Au Liat X12,46.61
25,39,Muffin Mix - Lemon Cranberry,4.07
26,1,"C - Plus, Orange",33.85
27,15,Juice - Apple Cider,15.4
28,28,,
29,72,Cornstarch,13.11
30,33,Wine - Barolo Fontanafredda,39.68
31,19,Dip - Tapenade,24.63
32,76,,
33,7,Creme De Cacao Mcguines,36.65
34,78,"Lamb - Leg, Boneless",48.64
35,86,Dc - Frozen Momji,35.9
36,26,Cactus Pads,12.22
37,53,Pastry - Mini French Pastries,17.34
38,21,"Wine - Bourgogne 2002, La",17.42
39,73,Beer - True North Strong Ale,15.64
40,63,Sponge Cake Mix - Chocolate,12.04
41,64,Clam Nectar,28.79
42,3,Bread - Raisin Walnut Oval,36.54
43,35,,
44,19,"Lamb - Whole, Fresh",4.32
45,37,Lemons,36.07
46,12,Persimmons,41.48
47,92,,
48,14,Eggwhite Frozen,19.53
49,6,Appetizer - Smoked Salmon / Dill,18.46
50,39,Muffin Mix - Oatmeal,37.22
51,17,Wine - Alicanca Vinho Verde,33.15
52,17,Egg Patty Fried,6.38
53,52,Aspic - Light,22.7
54,72,Tea - Green,40.67
55,57,Juice - Ocean Spray Cranberry,5.77
56,60,Sausage - Breakfast,9.43
57,60,Beans - Fine,15.04
58,66,Tomatoes - Yellow Hot House,23.41
59,9,"Mushroom - Porcini, Dry",4.87
60,32,Milk - 2% 250 Ml,21.95
61,74,Wine - Barbera Alba Doc 2001,47.8
62,79,"Veal - Brisket, Provimi, Bone - In",49.9
63,35,Tea - Earl Grey,49.75
64,71,Gloves - Goldtouch Disposable,30.65
65,9,Wine - Red Oakridge Merlot,3.12
66,40,Steamers White,47.98
67,47,"Ice - Clear, 300 Lb For Carving",21.03
68,78,Beef - Montreal Smoked Brisket,24.29
69,54,Lettuce - Radicchio,44.94
70,96,"Juice - V8, Tomato",22.71
71,8,Bread - Dark Rye,24.94
72,76,Rabbit - Saddles,41.02
73,47,Wine - Kwv Chenin Blanc South,45.63
74,46,Slt - Individual Portions,23.49
75,59,Longos - Greek Salad,15.13
76,38,"Pepper - Chipotle, Canned",49.59
77,70,"Turkey - Breast, Boneless Sk On",22.13
78,71,Tahini Paste,27.3
79,9,Bread - Bistro Sour,30.71
80,35,Oil - Olive,9.04
81,52,Olive - Spread Tapenade,9.74
82,14,Arizona - Plum Green Tea,31.75
83,85,Plastic Arrow Stir Stick,21.55
84,32,"Shrimp - 16 - 20 Cooked, Peeled",6.74
85,40,Lettuce - Boston Bib,45.11
86,31,Artichoke - Fresh,33.44
87,68,Squash - Sunburst,43.7
88,25,Longos - Grilled Chicken With,46.2
89,24,Pastry - Plain Baked Croissant,5.79
90,44,"Rum - Coconut, Malibu",17.06
91,18,Pate - Peppercorn,47.19
92,83,Wine - Rubyport,20.27
93,56,,
94,65,Wine - Chateau Bonnet,20.93
95,76,Corn - On The Cob,36.32
96,25,Broom - Corn,7.82
97,71,Creme De Banane - Marie,23.57
98,18,Tomatoes - Orange,42.75
99,14,Wine - Barossa Valley Estate,6.35
100,44,Olives - Kalamata,48.3
101,61,Cleaner - Lime Away,30.9
102,48,Dish Towel,39.32
103,67,Water - Evian 355 Ml,9.91
104,17,"Schnappes - Peach, Walkers",48.22
105,64,Nut - Pumpkin Seeds,17.81
106,6,,
107,4,Bread - Ciabatta Buns,22.25
108,17,"Fish - Artic Char, Cold Smoked",9.87
109,100,Pear - Packum,30.4
110,9,Gherkin - Sour,10.09
111,86,Pepper - Jalapeno,27.75
112,30,"Soup - Clam Chowder, Dry Mix",17.2
113,6,Lettuce - Iceberg,5.38
114,52,Lamb Rack Frenched Australian,17.69
115,37,Coffee Swiss Choc Almond,38.15
116,38,"Wine - Cahors Ac 2000, Clos",23.95
117,44,Madeira,8.96
118,89,Dc - Frozen Momji,38.85
119,27,Truffle Cups Green,3.1
120,97,Soup - Verve - Chipotle Chicken,20.91
121,27,Basil - Thai,40.77
122,22,Bananas,15.26
